ham,exact_eig,num_system_qubits,num_ancilla,alpha,replication_seed,n_circuits,n_shots,time,segments,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,estimation_error,max_theoretical_qdrift_error,peak_MB,runtime,top10_py_allocs,counts
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,1,0.028114301399530202,1,0000000100,0.872996709303984,0.8882741517168039,0.4178260657786595,0.034480228590533124,0.0594808360115417,2301.46875,23826.1278373,,"{""0000000000"": 1, ""0000000010"": 2, ""0000000011"": 8, ""0000000100"": 85, ""0000000101"": 2, ""0000000111"": 1, ""0000010110"": 1}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,1,0.015625,1,0000000010,0.7853981633974483,0.6440264939859065,1.2349995911470364,0.05311831731600258,0.03224198148434696,2347.28515625,23871.8314457,,"{""0000000000"": 2, ""0000000001"": 2, ""0000000010"": 90, ""0000000011"": 1, ""0000001100"": 1, ""1111100101"": 1, ""1111111101"": 1, ""1111111110"": 1, ""1111111111"": 1}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,1,0.05058649236375206,1,0000000111,0.8490697823432206,1.1413923788356728,3.0445020764392767,0.010553301629769751,0.11194467282544592,2308.0390625,23878.4293777,,"{""0000000011"": 2, ""0000000110"": 14, ""0000000111"": 76, ""0000001000"": 6, ""0000001100"": 1, ""0100000011"": 1}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,10,0.015625,1,0000000010,0.7853981633974483,0.7853981633974471,1.2212453270876722e-15,0.05311831731600258,0.03224198148434696,2349.01953125,24255.226333,,"{""0000000010"": 100}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,10,0.028114301399530202,1,0000000100,0.872996709303984,0.8729967093039852,1.2212453270876722e-15,0.034480228590533124,0.0594808360115417,2348.87890625,24332.429350500002,,"{""0000000100"": 100}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,10,0.05058649236375206,1,0000000111,0.8490697823432206,0.8478568255113024,0.012068768095119382,0.010553301629769751,0.11194467282544592,2352.87109375,24486.972195100003,,"{""0000000110"": 1, ""0000000111"": 99}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,1,0.1637755654187485,1,0000010110,0.8617050542591094,0.6668847811222673,1.2438863669544247,0.02318857354565851,0.45449881139484755,2361.5625,24705.43377229999,,"{""0000000011"": 1, ""0000001100"": 1, ""0000001101"": 1, ""0000001110"": 1, ""0000001111"": 1, ""0000010000"": 1, ""0000010001"": 1, ""0000010011"": 5, ""0000010100"": 1, ""0000010101"": 5, ""0000010110"": 19, ""0000010111"": 16, ""0000011000"": 4, ""0000011001"": 8, ""0000011010"": 7, ""0000011011"": 2, ""0000011100"": 4, ""0000011101"": 2, ""0000011111"": 1, ""0000100000"": 1, ""0000100001"": 1, ""0000100100"": 1, ""0000100111"": 1, ""0000101010"": 1, ""0000110010"": 1, ""0000110110"": 1, ""0001000101"": 1, ""1011100101"": 1, ""1111100011"": 1, ""1111100100"": 1, ""1111101110"": 1, ""1111110100"": 1, ""1111111000"": 2, ""1111111001"": 1, ""1111111010"": 1, ""1111111100"": 1, ""1111111111"": 1}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,1,0.09102104915581175,1,0000001100,0.8089456065537934,1.1574663387107196,2.986152928786748,0.029570874159657423,0.21838947865310596,2390.20703125,24756.41586149999,,"{""0000000111"": 2, ""0000001000"": 3, ""0000001001"": 2, ""0000001010"": 5, ""0000001011"": 6, ""0000001100"": 39, ""0000001101"": 21, ""0000001110"": 7, ""0000001111"": 2, ""0000010000"": 2, ""0000010010"": 1, ""0000010011"": 2, ""0000010101"": 1, ""0000011000"": 1, ""0000011001"": 1, ""0001100010"": 1, ""0110111111"": 1, ""1111101100"": 1, ""1111111100"": 1, ""1111111101"": 1}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,1,0.29468387891591497,1,0000101000,0.8537041460792936,0.9215840367187697,0.9871480940655735,0.015187665365842706,1.0625406121477112,2396.609375,24742.1017974,,"{""0000000000"": 1, ""0000001000"": 2, ""0000001100"": 1, ""0000001110"": 1, ""0000001111"": 1, ""0000010000"": 1, ""0000010110"": 1, ""0000011000"": 1, ""0000011010"": 1, ""0000011100"": 1, ""0000011110"": 1, ""0000011111"": 1, ""0000100000"": 2, ""0000100001"": 4, ""0000100011"": 2, ""0000100100"": 1, ""0000100101"": 3, ""0000100110"": 5, ""0000100111"": 4, ""0000101000"": 8, ""0000101001"": 4, ""0000101010"": 2, ""0000101011"": 2, ""0000101100"": 1, ""0000101101"": 6, ""0000101110"": 1, ""0000101111"": 2, ""0000110000"": 1, ""0000110001"": 5, ""0000110011"": 2, ""0000110100"": 1, ""0000110110"": 2, ""0000110111"": 1, ""0000111000"": 1, ""0000111001"": 1, ""0000111110"": 2, ""0000111111"": 1, ""0001000000"": 1, ""0001000010"": 1, ""0001000011"": 2, ""0001000111"": 1, ""0001001001"": 1, ""0001001100"": 2, ""0001001101"": 1, ""0001001110"": 1, ""0001010111"": 1, ""0001011000"": 1, ""0001100001"": 1, ""0001100010"": 1, ""0001110000"": 1, ""0001111010"": 1, ""0011101000"": 1, ""0100001000"": 1, ""1101010110"": 1, ""1101100111"": 1, ""1111010111"": 1, ""1111101101"": 1, ""1111101111"": 1}"
1 qubit test,0.8385164807134509,1,10,1.0,42,10000,10,0.09102104915581175,1,0000001100,0.8089456065537934,0.84062930947715,0.04415880699571626,0.029570874159657423,0.21838947865310596,2381.625,25431.5052671,,"{""0000001010"": 1, ""0000001100"": 56, ""0000001101"": 37, ""0000001110"": 6}"
