ham,n_sys,Num Ancilla,Time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,Eigenvalue Error,counts
ising,2,8,0.0010547458387620175,1,1,100,1,557,594,232.046875,1.2806248474865685,00000000,0.0,0.4653953910826105,3.2741797695976143,0.0,23.269769554130527,1.2806248474865685,"{""00000000"": 98, ""00000001"": 2}"
ising,2,8,0.0009765625,1,1,100,1,557,594,234.5,1.2806248474865685,00000000,0.0,0.5026548245743669,3.5363097470380693,0.0,25.132741228718345,1.2806248474865685,"{""00000000"": 98, ""00000001"": 2}"
ising,2,8,0.0010547458387620175,1,3,100,1,551,588,231.546875,1.2806248474865685,00000000,0.0,0.0,0.0,0.0,0.0,1.2806248474865685,"{""00000000"": 100}"
ising,2,8,0.0010547458387620175,1,2,100,1,576,612,234.375,1.2806248474865685,00000000,0.0,0.0,0.0,0.0,0.0,1.2806248474865685,"{""00000000"": 100}"
ising,2,8,0.0010547458387620175,1,0,100,1,548,584,232.125,1.2806248474865685,00000000,0.0,3.490465433119579,37.327730113515955,-23.269769554130527,372.3163128660884,1.2806248474865685,"{""00000000"": 98, ""00010000"": 1, ""11111111"": 1}"
ising,2,8,0.0009765625,1,2,100,1,576,612,232.28125,1.2806248474865685,00000000,0.0,0.0,0.0,0.0,0.0,1.2806248474865685,"{""00000000"": 100}"
ising,2,8,0.0009765625,1,0,100,1,548,584,232.0625,1.2806248474865685,00000000,0.0,3.7699111843077517,40.31617843984651,-25.132741228718345,402.1238596594935,1.2806248474865685,"{""00000000"": 98, ""00010000"": 1, ""11111111"": 1}"
ising,2,8,0.0009765625,1,3,100,1,551,588,231.203125,1.2806248474865685,00000000,0.0,0.0,0.0,0.0,0.0,1.2806248474865685,"{""00000000"": 100}"
ising,2,8,0.0011391885152110507,1,0,100,1,548,584,235.828125,1.2806248474865685,00000000,0.0,3.2317336786383235,34.56080137918922,-21.544891190922158,344.7182590547545,1.2806248474865685,"{""00000000"": 98, ""00010000"": 1, ""11111111"": 1}"
ising,2,8,0.0011391885152110507,1,1,100,1,557,594,235.421875,1.2806248474865685,00000000,0.0,0.43089782381844316,3.031480252153059,0.0,21.544891190922158,1.2806248474865685,"{""00000000"": 98, ""00000001"": 2}"
ising,2,8,0.0012303916502879625,1,1,100,1,557,594,234.265625,1.2806248474865685,00000000,0.0,0.39895739865312024,5.656339447159068,-39.895739865312024,19.947869932656012,1.2806248474865685,"{""00000000"": 95, ""00000001"": 4, ""11111110"": 1}"
ising,2,8,0.0012303916502879625,1,0,100,1,548,584,233.453125,1.2806248474865685,00000000,0.0,2.9921804898984017,31.998972033374983,-19.947869932656012,319.1659189224962,1.2806248474865685,"{""00000000"": 98, ""00010000"": 1, ""11111111"": 1}"
ising,2,8,0.0011391885152110507,1,2,100,1,576,612,232.765625,1.2806248474865685,00000000,0.0,0.0,0.0,0.0,0.0,1.2806248474865685,"{""00000000"": 100}"
