2,6,Estimate,-2.334919248727414,4
N Qubits,N Terms,Correct or Estimate,Value,N Points
2,6,Correct,-2.6072914709442103,0
2,6,Estimate,-1.0895603661683535,2
2,6,Estimate,-2.9838805822945003,4
2,6,Estimate,-2.852780260469336,6
2,6,Estimate,-2.583354093848142,8
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-0.21918158826217415,0,100,0
2,6,Estimate,-0.22011958899937384,2,100,1024
2,6,Estimate,-0.05947612095555608,4,100,1024
2,6,Estimate,-0.2714671075759756,6,100,1024
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-1.308693651921552,0,100,0
2,6,Estimate,-1.1103013082116884,2,100,2048
2,6,Estimate,-1.3112925825672022,4,100,2048
2,6,Estimate,-1.3069451817346358,6,100,2048
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,100,0
2,6,Estimate,-1.2808446478679838,2,100,2048
2,6,Estimate,-2.6857102645477084,4,100,2048
2,6,Estimate,-2.4914333758435756,6,100,2048
2,6,Estimate,-2.306248275152067,8,100,2048
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,100,0
2,6,Estimate,-1.2259068454798796,2,100,4096
2,6,Estimate,-2.676239771944353,4,100,4096
2,6,Estimate,-2.487195578509428,6,100,4096
2,6,Estimate,-2.3479224609992775,8,100,4096
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,100,0
2,6,Estimate,-1.2465775985671144,2,100,8192
2,6,Estimate,-2.718895157913224,4,100,8192
2,6,Estimate,-2.544582342734222,6,100,8192
2,6,Estimate,-2.336323803707223,8,100,8192
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,500,0
2,6,Estimate,-1.2253060089645782,2,500,2048
2,6,Estimate,-2.695540634168349,4,500,2048
2,6,Estimate,-2.538374856640116,6,500,2048
2,6,Estimate,-2.3572123368433786,8,500,2048
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,500,0
2,6,Estimate,-1.2426415500389787,2,500,4096
2,6,Estimate,-2.657133072156548,4,500,4096
2,6,Estimate,-2.5070566689487577,6,500,4096
2,6,Estimate,-2.300745858779427,8,500,4096
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,500,0
2,6,Estimate,-1.2269078232522115,2,500,8192
2,6,Estimate,-2.6460580728675036,4,500,8192
2,6,Estimate,-2.5085974560170623,6,500,8192
2,6,Estimate,-2.317539659428013,8,500,8192
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,1000,0
2,6,Estimate,-1.229518595524362,2,1000,2048
2,6,Estimate,-2.664404417308223,4,1000,2048
2,6,Estimate,-2.503740486468099,6,1000,2048
2,6,Estimate,-2.3046478626552274,8,1000,2048
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,1000,0
2,6,Estimate,-1.2386234348707328,2,1000,4096
2,6,Estimate,-2.684458339730645,4,1000,4096
2,6,Estimate,-2.5293777615280155,6,1000,4096
2,6,Estimate,-2.2919859151166193,8,1000,4096
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,1000,0
2,6,Estimate,-1.229844862166321,2,1000,8192
2,6,Estimate,-2.678725325100872,4,1000,8192
2,6,Estimate,-2.5079806340876556,6,1000,8192
2,6,Estimate,-2.2953520461569803,8,1000,8192
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,2000,0
2,6,Estimate,-1.2416264057076194,2,2000,2048
2,6,Estimate,-2.664247410472702,4,2000,2048
2,6,Estimate,-2.5139815959199137,6,2000,2048
2,6,Estimate,-2.2955479455529186,8,2000,2048
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.3513182311510743,0,2000,0
2,6,Estimate,-1.219178977855782,2,2000,4096
2,6,Estimate,-2.6682860614445514,4,2000,4096
2,6,Estimate,-2.5180577875512107,6,2000,4096
