N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.008448440378012,0,100,0
2,6,Estimate,-1.3641497326983845,2,100,2048
2,6,Estimate,-2.2449610235776762,4,100,2048
2,6,Estimate,-2.1392931221093767,6,100,2048
2,6,Estimate,-1.9080795152201369,8,100,2048
2,6,Estimate,-2.02375979631802,10,100,2048
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.008448440378012,0,100,0
2,6,Estimate,-1.3739671517149747,2,100,4096
2,6,Estimate,-2.3037550590436617,4,100,4096
2,6,Estimate,-2.0849521105589104,6,100,4096
2,6,Estimate,-1.8774995148918967,8,100,4096
2,6,Estimate,-1.9856438592168826,10,100,4096
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.008448440378012,0,100,0
2,6,Estimate,-1.3303629226717777,2,100,8192
2,6,Estimate,-2.2697258816572883,4,100,8192
2,6,Estimate,-2.0915294341897663,6,100,8192
2,6,Estimate,-1.9033853167465986,8,100,8192
2,6,Estimate,-2.027642963834259,10,100,8192
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-2.008448440378012,0,500,0
2,6,Estimate,-1.3335741793186222,2,500,2048
2,6,Estimate,-2.2926886299405056,4,500,2048
