N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-1.379698571943353,0,100,0
2,6,Estimate,-1.15484326514934,2,100,2048
2,6,Estimate,-1.4105636750737334,4,100,4096
2,6,Estimate,-1.3573630768972942,6,100,6144
2,6,Estimate,-1.4061149211243162,8,100,8192
2,6,Estimate,-1.3915643273097549,10,100,10240
N Qubits,N Terms,Correct or Estimate,Value,N Points,time,shots
2,6,Correct,-1.379698571943353,0,100,0
2,6,Estimate,-1.1650765316519063,2,100,4096
2,6,Estimate,-1.4090217076424738,4,100,8192
2,6,Estimate,-1.391346906244168,6,100,12288
2,6,Estimate,-1.3636596636000669,8,100,16384
